time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,8,7,0,0
2026-04-19 00:00:00+00:00,29,14,0,0
2026-04-20 00:00:00+00:00,42,17,4,1
2026-04-21 00:00:00+00:00,67,33,0,0
2026-04-22 00:00:00+00:00,61,25,0,0
2026-04-23 00:00:00+00:00,79,25,0,0
2026-04-24 00:00:00+00:00,47,22,0,0
2026-04-25 00:00:00+00:00,75,28,0,0
2026-04-26 00:00:00+00:00,21,7,1,1
2026-04-27 00:00:00+00:00,18,8,0,0
2026-04-28 00:00:00+00:00,16,6,0,0
2026-04-29 00:00:00+00:00,15,7,0,0
2026-04-30 00:00:00+00:00,29,9,1,1
2026-05-01 00:00:00+00:00,44,12,0,0
