time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,2,2,0,0
2026-08-28 00:00:00+00:00,1,1,7,2
2026-08-29 00:00:00+00:00,2,2,0,0
2026-08-30 00:00:00+00:00,4,2,0,0
2026-08-31 00:00:00+00:00,2,2,0,0
2026-09-01 00:00:00+00:00,10,7,0,0
2026-09-02 00:00:00+00:00,16,12,1,1
2026-09-03 00:00:00+00:00,6,6,0,0
2026-09-04 00:00:00+00:00,14,10,0,0
2026-09-05 00:00:00+00:00,16,10,0,0
2026-09-06 00:00:00+00:00,2,2,0,0
2026-09-07 00:00:00+00:00,28,12,0,0
2026-09-08 00:00:00+00:00,6,6,0,0
2026-09-09 00:00:00+00:00,14,13,1,1
