time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,5,5,1,1
2026-04-11 00:00:00+00:00,34,12,0,0
2026-04-12 00:00:00+00:00,29,8,0,0
2026-04-13 00:00:00+00:00,1,1,0,0
2026-04-14 00:00:00+00:00,16,7,3,3
2026-04-15 00:00:00+00:00,21,6,7,2
2026-04-16 00:00:00+00:00,53,25,2,1
2026-04-17 00:00:00+00:00,7,6,0,0
2026-04-18 00:00:00+00:00,8,7,0,0
2026-04-19 00:00:00+00:00,29,14,0,0
2026-04-20 00:00:00+00:00,42,17,4,1
2026-04-21 00:00:00+00:00,67,33,0,0
2026-04-22 00:00:00+00:00,61,25,0,0
2026-04-23 00:00:00+00:00,79,25,0,0
